iter	Passed	Remaining
683	2182	370
684	2185	366
685	2188	363
686	2191	360
687	2194	357
688	2197	353
689	2200	350
690	2203	347
691	2207	344
692	2210	341
693	2213	338
694	2215	334
695	2219	331
696	2222	328
697	2225	325
698	2228	322
699	2231	318
700	2234	315
701	2238	312
702	2240	309
703	2243	305
704	2246	302
705	2249	299
706	2253	296
707	2256	293
708	2258	289
709	2261	286
710	2265	283
711	2268	280
712	2270	277
713	2273	273
714	2276	270
715	2279	267
716	2283	264
717	2287	261
718	2289	257
719	2292	254
720	2296	251
721	2299	248
722	2302	245
723	2305	241
724	2308	238
725	2310	235
726	2313	232
727	2317	229
728	2319	225
729	2322	222
730	2326	219
731	2329	216
732	2332	213
733	2335	209
734	2338	206
735	2341	203
736	2344	200
737	2347	197
738	2350	194
739	2353	190
740	2356	187
741	2359	184
742	2362	181
743	2366	178
744	2368	174
745	2371	171
746	2374	168
747	2377	165
748	2380	162
749	2383	158
750	2386	155
751	2389	152
752	2391	149
753	2395	146
754	2398	142
755	2401	139
756	2404	136
757	2407	133
758	2410	130
759	2413	127
760	2416	123
761	2419	120
762	2422	117
763	2425	114
764	2428	111
765	2431	107
766	2433	104
767	2436	101
768	2439	98
769	2443	95
770	2446	92
771	2449	88
772	2452	85
773	2455	82
774	2458	79
775	2461	76
776	2464	72
777	2468	69
778	2471	66
779	2475	63
780	2478	60
781	2481	57
782	2484	53
783	2487	50
784	2490	47
785	2493	44
786	2495	41
787	2498	38
788	2501	34
789	2504	31
790	2507	28
791	2510	25
792	2513	22
793	2516	19
794	2518	15
795	2521	12
796	2524	9
797	2527	6
798	2531	3
799	2534	0
