formula,mp_id,crystal_system,material_class,density,band_gap_calibrated,theoretical_efficiency_pct,ed_est_ev,radiation_resistance_score,penetration_depth_um_Ni63,carriers_per_electron_Ni63,t_max_ev_Ni63,is_immune_Ni63,penetration_depth_um_H3,carriers_per_electron_H3,t_max_ev_H3,is_immune_H3,penetration_depth_um_C14,carriers_per_electron_C14,t_max_ev_C14,is_immune_C14,penetration_depth_um_Pm147,carriers_per_electron_Pm147,t_max_ev_Pm147,is_immune_Pm147
Bi3SbO7,mp-30304,Triclinic,Оксидные полупроводники (простые и тройные),8.75291858513928,2.63932550648049,18.968648499618464,23.090262103483067,57.458473357594855,0.6774360232442503,2205.2920520214907,1.9989760289999123,1,0.09609219188162654,722.4232584208332,0.5311169916563633,1,4.221494235205593,6273.675665233552,5.061013154552446,1,6.26026271585349,7857.937196858185,7.658780836847432,1
Ba4Ta2TiZnO12,mp-676665,Tetragonal,Сложные оксиды,7.257434684393525,2.4922609762515044,18.967731220244268,31.714379929552706,78.91897658277188,0.8170300686065289,2326.7224491750544,2.571562711960755,1,0.11589317283366571,762.2021816263109,0.6832501398806594,1,5.091385173310335,6619.124208860068,6.510689735234696,1,7.550267037370873,8290.62022119847,9.85256197842946,1
Cr(Bi7O12)2,mp-698567,Triclinic,Оксидные полупроводники (простые и тройные),8.651135296007007,2.645423676432287,18.967170660275904,25.498569087834525,63.45137383127091,0.6854062681038253,2200.529917093301,1.8327335824353137,1,0.09722274631350045,720.8632487029779,0.48694728335367937,1,4.271161423801114,6260.128212420597,4.640120058936214,1,6.333916647765271,7840.968670102567,7.021847504206835,1
LuSbO4,mp-1237257,Monoclinic,Оксидные полупроводники (простые и тройные),8.344087421130437,2.6592326792963616,18.96338278857664,27.96457148162234,69.58784522376534,0.7106280242320525,2189.8219461507774,4.349622238238873,1,0.10080037393633999,717.3554651183581,1.1556708257131123,1,4.428332720342402,6229.665881291005,11.012385864413861,1,6.566993741542673,7802.813831111966,16.66493392740468,1
BaTa6O16,mp-769349,Orthorhombic,Оксидные полупроводники (простые и тройные),8.095845467214856,2.476301239855391,18.96335819186667,33.773579159044054,84.04314726283793,0.7324179274554921,2340.7095143165843,2.4323088669850015,1,0.10389120390372407,766.7841512416396,0.6462511553269995,1,4.564118163819287,6658.914997624765,6.158126457326411,1,6.768356695461897,8340.45918894415,9.319031478871043,1
BaNd2PtO5,mp-556525,Tetragonal,Сложные оксиды,8.311759258885452,2.688626752560934,18.953286744035946,29.01307581794302,72.196973617536,0.7133919755626505,2167.37222950925,2.97982799388279,1,0.10119243183184334,710.0012475978577,0.7917239910856944,1,4.445556493817911,6165.800308086659,7.544336928787197,1,6.592535727604341,7722.820587906523,11.416769989017231,1
LuAgO2,mp-1018025,Trigonal,Оксидные полупроводники (простые и тройные),8.559651715168586,2.6937635550788084,18.951239197654523,27.943540313308517,69.5355106587083,0.692731732015414,2163.4961624108487,3.683083710620271,1,0.09826184057430347,708.7315014794159,0.9785751865077914,1,4.316810610752941,6154.773565479138,9.324841738143645,1,6.401612086195647,7709.009314337506,14.111190196470686,1
TmCrO3,mp-777295,Orthorhombic,Оксидные полупроводники (простые и тройные),8.385646508237471,2.4390095594617778,18.949826513435063,29.381034234031198,73.11261193955905,0.7071061667425019,2374.056712168816,6.016074555511106,1,0.10030080941060822,777.708233296681,1.5984380868749233,1,4.406385996844953,6753.782025997493,15.2315145466966,1,6.53444785916282,8459.282537613022,23.049699371255397,1
Gd4Au2O9,mp-623092,Orthorhombic,Оксидные полупроводники (простые и тройные),9.363677998331147,2.4287118486436596,18.945267544046256,27.1299571975586,67.51096699735878,0.6332492808012241,2383.433272706511,3.5659404087718403,1,0.08982443996444162,780.7798651969605,0.9474508522647446,1,3.946141180311294,6780.456724078867,9.028257995756686,1,5.851928044003065,8492.69327056343,13.662372970878113,1
Bi2O3,mp-23262,Monoclinic,Оксидные полупроводники (простые и тройные),9.438175814451727,2.7083293751579824,18.94497627064711,22.087247305284375,54.96254244086094,0.6282508902851899,2152.580270945873,1.6783685612504056,1,0.08911543382351354,705.1556059995102,0.4459333419760448,1,3.9149933286696093,6123.719736311536,4.24929826243351,1,5.805737353350167,7670.113609117479,6.430420769228927,1
LaTa3O9,mp-757365,Monoclinic,Оксидные полупроводники (простые и тройные),7.470711266303179,2.7347724397566036,18.931884130407077,34.54964623033112,85.97433491845698,0.7937051970998781,2133.0423029850203,2.4623932725553392,1,0.11258461239175477,698.7552371847481,0.6542444172523473,1,4.946034457931067,6068.137586078075,6.234294240296047,1,7.334719268378801,7600.495562360417,9.434295426776073,1
Ba4MgTa10O30,mp-1228584,Orthorhombic,Сложные оксиды,7.5891592631774465,2.737361434836587,18.930483198385158,33.78981567952067,84.08355068810201,0.7813174229809021,2131.1484198654452,2.4583285630588563,1,0.11082744518070775,698.134827197301,0.6531644461829548,1,4.868839098906839,6062.749815134456,6.224003197315694,1,7.220242450216625,7593.747243198713,9.418722093855923,1
Gd2MgPtO6,mp-1212711,Monoclinic,Сложные оксиды,8.872860691563965,2.7469245283442567,18.92512473408766,28.76050393801966,71.56846647593605,0.6682785365643198,2124.1819526687573,4.16670927086787,1,0.09479323089194198,695.8527086328687,1.1070718512603628,1,4.164428658676072,6042.931417074913,10.54928629714891,1,6.175637348340927,7568.924199164538,15.964129961279681,1
Ta2Pb2O7,mp-755663,Orthorhombic,Оксидные полупроводники (простые и тройные),9.45430433538402,2.751786823879173,18.922289434099405,31.946200554740088,79.4958457043251,0.6271791289714809,2120.6573322865315,1.9368661864137413,1,0.08896340781622356,694.6980916111052,0.5146147463727512,1,3.9083145663184844,6032.90447978065,4.903763279718751,1,5.7958330861392575,7556.365206997985,7.420816166297299,1
Ta2PbO6,mp-771957,Orthorhombic,Оксидные полупроводники (простые и тройные),9.123806818067994,2.837792134550851,18.859852289331414,33.17450285822857,82.5523885388657,0.6498978415846217,2060.1912150978314,2.116521339014033,1,0.09218598650530863,674.8902256354966,0.5623481372690738,1,4.049887956331562,5860.888801571417,5.358614702348413,1,6.005779272412491,7340.911226210665,8.109138297235706,1
Ba3Ta6(Si2O13)2,mp-6169,Hexagonal,Сложные оксиды,6.126996333772594,2.8860209822982092,18.814731311054516,34.729329065777804,86.42146286213558,0.9677731199891921,2027.7690737093124,2.130621093962112,1,0.13727560559671068,664.2691793185678,0.5660943649989092,1,6.030751992573462,5768.653399345458,5.394312501738181,1,8.943300581299528,7225.384055745826,8.163159421768459,1
Lu6TeO12,mp-755804,Trigonal,Оксидные полупроводники (простые и тройные),9.571590008916676,2.902262357115336,18.797913476542107,30.099207151930415,74.89973411618577,0.6194939767137558,2017.0791891327096,5.948463139305407,1,0.08787329288278345,660.7673205779566,1.5804741035875582,1,3.8604239540104848,5738.242520808571,15.060335772238679,1,5.724813727123938,7187.293662426896,22.790656235531856,1
KTa5Pb2O15,mp-1223615,Orthorhombic,Сложные оксиды,8.225725879874549,2.931711355014913,18.76534302023914,33.20352390980221,82.62460535958346,0.7208533866421375,1997.9809382863484,2.2508725990484204,1,0.10225080977537832,654.5109970248383,0.5980445318328471,1,4.4920528459128395,5683.911289952543,5.698765601859154,1,6.661487469150165,7119.242423778943,8.623885268099816,1
Sm3Ta17O47,mp-765640,Monoclinic,Оксидные полупроводники (простые и тройные),7.676583427066802,3.008096896134595,18.66846185780573,34.91528292721142,86.88419580752357,0.772419451235366,1950.088644653345,2.6746202353299653,1,0.1095652955769199,638.8221422140268,0.7106319598651613,1,4.813390709479724,5547.665971858654,6.7716110638952065,1,7.138015289490019,6948.591722328011,10.247411628261403,1
